locus_tag	gene_name	start_site	end_site	gene_length
non_coding_965	region	973402	973537	136
non_coding_968	region	976327	976326	0
non_coding_969	region	980787	981047	261
non_coding_970	region	982895	983075	181
non_coding_971	region	983624	983650	27
non_coding_972	region	984298	984519	222
non_coding_973	region	985710	985894	185
non_coding_974	region	986983	987585	603
non_coding_975	region	988986	989154	169
non_coding_976	region	990357	990622	266
non_coding_977	region	993235	993277	43
non_coding_979	region	994833	994843	11
non_coding_982	region	997513	997868	356
non_coding_983	region	998408	998490	83
non_coding_984	region	999192	1001816	2625
non_coding_985	region	999217	1001807	2591
non_coding_986	region	1002878	1002889	12
non_coding_987	region	1003432	1003439	8
non_coding_989	region	1004658	1004768	111
non_coding_990	region	1005779	1005952	174
non_coding_992	region	1007601	1007844	244
non_coding_993	region	1009953	1009964	12
non_coding_994	region	1011872	1012001	130
non_coding_995	region	1013255	1013259	5
non_coding_997	region	1015460	1015715	256
non_coding_998	region	1015883	1015952	70
non_coding_999	region	1016471	1016539	69
non_coding_1000	region	1018300	1018485	186
non_coding_1001	region	1018938	1019013	76
non_coding_1002	region	1020054	1020410	357
non_coding_1003	region	1020920	1021138	219
non_coding_1005	region	1023884	1023902	19
non_coding_1006	region	1024349	1024471	123
non_coding_1007	region	1026526	1026557	32
non_coding_1008	region	1027016	1027111	96
non_coding_1009	region	1027774	1027946	173
non_coding_1010	region	1028360	1028404	45
non_coding_1011	region	1028722	1028779	58
non_coding_1012	region	1029970	1030064	95
non_coding_1014	region	1030669	1030759	91
non_coding_1015	region	1031419	1031625	207
non_coding_1016	region	1031713	1032139	427
non_coding_1018	region	1035048	1035066	19
non_coding_1022	region	1037607	1037740	134
non_coding_1023	region	1039285	1039296	12
non_coding_1024	region	1040433	1040445	13
non_coding_1025	region	1040538	1040617	80
non_coding_1026	region	1041916	1042030	115
non_coding_1027	region	1044211	1044230	20
non_coding_1029	region	1045804	1045849	46
non_coding_1030	region	1047946	1047945	0
non_coding_1032	region	1049333	1049439	107
non_coding_1033	region	1049745	1049833	89
non_coding_1035	region	1050531	1050963	433
non_coding_1036	region	1051176	1051461	286
non_coding_1037	region	1051674	1051684	11
non_coding_1040	region	1052241	1052289	49
non_coding_1041	region	1053363	1053434	72
non_coding_1042	region	1056179	1056261	83
non_coding_1044	region	1057955	1058084	130
non_coding_1045	region	1059257	1059256	0
non_coding_1047	region	1062399	1062550	152
non_coding_1048	region	1062856	1062855	0
non_coding_1049	region	1063776	1064036	261
non_coding_1050	region	1065293	1065585	293
non_coding_1051	region	1066827	1066864	38
non_coding_1052	region	1067092	1067112	21
non_coding_1053	region	1067709	1068081	373
non_coding_1054	region	1068255	1068511	257
non_coding_1055	region	1069840	1069860	21
non_coding_1056	region	1070355	1070365	11
non_coding_1057	region	1070956	1070965	10
non_coding_1058	region	1071766	1071773	8
non_coding_1059	region	1072160	1072171	12
non_coding_1060	region	1072864	1072863	0
non_coding_1061	region	1074012	1074242	231
non_coding_1062	region	1074881	1074920	40
non_coding_1063	region	1078883	1079120	238
non_coding_1064	region	1079147	1079305	159
non_coding_1065	region	1080814	1081356	543
non_coding_1066	region	1082186	1082243	58
non_coding_1067	region	1083371	1083376	6
non_coding_1068	region	1084648	1084992	345
non_coding_1069	region	1086057	1086106	50
non_coding_1070	region	1086520	1086521	2
non_coding_1072	region	1089858	1089866	9
non_coding_1073	region	1092290	1092876	587
non_coding_1074	region	1094235	1094275	41
non_coding_1076	region	1095438	1095544	107
non_coding_1078	region	1096830	1097565	736
non_coding_1079	region	1097653	1097886	234
non_coding_1080	region	1098825	1098879	55
non_coding_1081	region	1099617	1099640	24
non_coding_1082	region	1100195	1100296	102
non_coding_1083	region	1100788	1100851	64
non_coding_1084	region	1101685	1101711	27
non_coding_1085	region	1102128	1102152	25
non_coding_1086	region	1102542	1102546	5
non_coding_1087	region	1103197	1103951	755
non_coding_1088	region	1104407	1104447	41
non_coding_1089	region	1104903	1104961	59
non_coding_1090	region	1105294	1105414	121
non_coding_1091	region	1105726	1105820	95
non_coding_1092	region	1106354	1106355	2
non_coding_1093	region	1107777	1107784	8
non_coding_1094	region	1108942	1109335	394
non_coding_1096	region	1113407	1113579	173
non_coding_1097	region	1113807	1113807	1
non_coding_1098	region	1114182	1114264	83
non_coding_1099	region	1115491	1115662	172
non_coding_1100	region	1116583	1116807	225
non_coding_1101	region	1117860	1117901	42
non_coding_1102	region	1118477	1118480	4
non_coding_1103	region	1119047	1119307	261
non_coding_1104	region	1119448	1119468	21
non_coding_1105	region	1120587	1120701	115
non_coding_1106	region	1120956	1121242	287
non_coding_1107	region	1121488	1121561	74
non_coding_1108	region	1122608	1122713	106
non_coding_1109	region	1123274	1123407	134
non_coding_1110	region	1124055	1124118	64
non_coding_1111	region	1125327	1125562	236
non_coding_1112	region	1126147	1126157	11
non_coding_1113	region	1126805	1126806	2
non_coding_1114	region	1127730	1127839	110
non_coding_1115	region	1129375	1129414	40
non_coding_1116	region	1129831	1129835	5
non_coding_1117	region	1130129	1130204	76
non_coding_1118	region	1130864	1131018	155
non_coding_1119	region	1131435	1131438	4
non_coding_1120	region	1131843	1131854	12
non_coding_1121	region	1132550	1132574	25
non_coding_1122	region	1133783	1133802	20
non_coding_1123	region	1134558	1134729	172
non_coding_1124	region	1135512	1135564	53
non_coding_1125	region	1136263	1136274	12
non_coding_1126	region	1137372	1137371	0
non_coding_1127	region	1138313	1138378	66
non_coding_1128	region	1140022	1140033	12
non_coding_1129	region	1140987	1140986	0
non_coding_1130	region	1141064	1141182	119
non_coding_1131	region	1144368	1144502	135
non_coding_1132	region	1144823	1144940	118
non_coding_1133	region	1145900	1146011	112
non_coding_1135	region	1146758	1146794	37
non_coding_1136	region	1147316	1147367	52
non_coding_1137	region	1147541	1147621	81
non_coding_1138	region	1148692	1148759	68
non_coding_1139	region	1149713	1149728	16
non_coding_1140	region	1150658	1150670	13
non_coding_1141	region	1151405	1151615	211
non_coding_1142	region	1151852	1151939	88
non_coding_1143	region	1153181	1153300	120
non_coding_1144	region	1154110	1154112	3
non_coding_1147	region	1156767	1156777	11
non_coding_1148	region	1157575	1157869	295
non_coding_1149	region	1159303	1159362	60
non_coding_1150	region	1161552	1161885	334
non_coding_1151	region	1162245	1162247	3
non_coding_1152	region	1162625	1162638	14
non_coding_1154	region	1164085	1164095	11
non_coding_1155	region	1165121	1165143	23
non_coding_1156	region	1165686	1166085	400
non_coding_1157	region	1167390	1167599	210
non_coding_1158	region	1168139	1168200	62
non_coding_1159	region	1168833	1169073	241
non_coding_1161	region	1169403	1169412	10
non_coding_1162	region	1170375	1170518	144
non_coding_1163	region	1173965	1174092	128
non_coding_1164	region	1175166	1175427	262
non_coding_1166	region	1177321	1177320	0
non_coding_1167	region	1178565	1178593	29
non_coding_1168	region	1179505	1179520	16
non_coding_1169	region	1180360	1180479	120
non_coding_1171	region	1181726	1181783	58
non_coding_1174	region	1184445	1184458	14
non_coding_1175	region	1185595	1185844	250
non_coding_1176	region	1187071	1187119	49
non_coding_1177	region	1188241	1188316	76
non_coding_1178	region	1189777	1189776	0
non_coding_1179	region	1190448	1190616	169
non_coding_1180	region	1191987	1191990	4
non_coding_1181	region	1192632	1192667	36
non_coding_1182	region	1193774	1193827	54
non_coding_1183	region	1194289	1194298	10
non_coding_1184	region	1194952	1195123	172
non_coding_1185	region	1196374	1196711	338
non_coding_1186	region	1196783	1196867	85
non_coding_1187	region	1197533	1197533	1
non_coding_1188	region	1198238	1198695	458
non_coding_1189	region	1199589	1199679	91
non_coding_1191	region	1201033	1201069	37
non_coding_1192	region	1201381	1201497	117
non_coding_1194	region	1202085	1202259	175
non_coding_1195	region	1202934	1203024	91
non_coding_1196	region	1203225	1203268	44
non_coding_1198	region	1204161	1204170	10
non_coding_1201	region	1205538	1205549	12
non_coding_1202	region	1205732	1205731	0
non_coding_1205	region	1207498	1207501	4
non_coding_1206	region	1208131	1208132	2
non_coding_1208	region	1209120	1209119	0
non_coding_1209	region	1209656	1209685	30
non_coding_1210	region	1210240	1210346	107
non_coding_1211	region	1211180	1211413	234
non_coding_1212	region	1211578	1211680	103
non_coding_1213	region	1212004	1212260	257
non_coding_1214	region	1212305	1212540	236
non_coding_1215	region	1212651	1212703	53
non_coding_1216	region	1213108	1213328	221
non_coding_1217	region	1214060	1214264	205
non_coding_1218	region	1215476	1215789	314
non_coding_1219	region	1216026	1216068	43
non_coding_1220	region	1216341	1216369	29
non_coding_1221	region	1216636	1216748	113
non_coding_1222	region	1216997	1217328	332
non_coding_1223	region	1218852	1218983	132
non_coding_1224	region	1219202	1219601	400
non_coding_1225	region	1222249	1222305	57
non_coding_1226	region	1222635	1222644	10
non_coding_1227	region	1222989	1222990	2
non_coding_1228	region	1223164	1223264	101
non_coding_1229	region	1223450	1223564	115
non_coding_1230	region	1223908	1224279	372
non_coding_1231	region	1224546	1224549	4
non_coding_1232	region	1225362	1225385	24
non_coding_1233	region	1226081	1226600	520
non_coding_1234	region	1226969	1227071	103
non_coding_1236	region	1227428	1227681	254
non_coding_1237	region	1228008	1228079	72
non_coding_1238	region	1228739	1228815	77
non_coding_1239	region	1229277	1229483	207
non_coding_1240	region	1230395	1230767	373
non_coding_1241	region	1231187	1231186	0
non_coding_1242	region	1232455	1232500	46
non_coding_1243	region	1233031	1233176	146
non_coding_1244	region	1234718	1234938	221
non_coding_1245	region	1235658	1235709	52
non_coding_1246	region	1237242	1237571	330
non_coding_1247	region	1238870	1238879	10
non_coding_1248	region	1239950	1240260	311
non_coding_1250	region	1242072	1242166	95
non_coding_1251	region	1243081	1243180	100
non_coding_1252	region	1243792	1243793	2
non_coding_1253	region	1244528	1244728	201
non_coding_1254	region	1244983	1245160	178
non_coding_1255	region	1245601	1245679	79
non_coding_1256	region	1247377	1247696	320
non_coding_1257	region	1249115	1249125	11
non_coding_1258	region	1249758	1249768	11
non_coding_1259	region	1250839	1251066	228
non_coding_1260	region	1252986	1253085	100
non_coding_1261	region	1255953	1256721	769
non_coding_1262	region	1257813	1257929	117
non_coding_1263	region	1258514	1258791	278
non_coding_1264	region	1259070	1259124	55
non_coding_1265	region	1260804	1260928	125
non_coding_1266	region	1261876	1262026	151
non_coding_1267	region	1262878	1262877	0
non_coding_1268	region	1263501	1263714	214
non_coding_1269	region	1264971	1265012	42
non_coding_1270	region	1266095	1266094	0
non_coding_1272	region	1267317	1267320	4
non_coding_1273	region	1268130	1268165	36
non_coding_1274	region	1269020	1269168	149
non_coding_1275	region	1269276	1269323	48
non_coding_1276	region	1269390	1269703	314
non_coding_1277	region	1269811	1269858	48
non_coding_1278	region	1269924	1270238	315
non_coding_1279	region	1270346	1270393	48
non_coding_1280	region	1270461	1270749	289
non_coding_1281	region	1271850	1272119	270
non_coding_1282	region	1272350	1272507	158
non_coding_1283	region	1273203	1273246	44
non_coding_1284	region	1273600	1273784	185
non_coding_1285	region	1275179	1275179	1
non_coding_1287	region	1277619	1277957	339
non_coding_1289	region	1279521	1279864	344
non_coding_1292	region	1285850	1285849	0
non_coding_1293	region	1286527	1286709	183
non_coding_1294	region	1286985	1287066	82
non_coding_1296	region	1287177	1287244	68
non_coding_1297	region	1287329	1287538	210
non_coding_1298	region	1287623	1287782	160
non_coding_1299	region	1288625	1288674	50
non_coding_1300	region	1289133	1289245	113
non_coding_1301	region	1290151	1290242	92
non_coding_1302	region	1291256	1291457	202
non_coding_1303	region	1292366	1292509	144
non_coding_1304	region	1292923	1293527	605
non_coding_1305	region	1294145	1294426	282
non_coding_1306	region	1295323	1295446	124
non_coding_1307	region	1298122	1298514	393
non_coding_1308	region	1298568	1298598	31
non_coding_1309	region	1299246	1299567	322
non_coding_1310	region	1300548	1301182	635
non_coding_1311	region	1302814	1302899	86
non_coding_1312	region	1303820	1303834	15
non_coding_1313	region	1304743	1304754	12
non_coding_1315	region	1306769	1306821	53
non_coding_1316	region	1307151	1307185	35
non_coding_1317	region	1308646	1308788	143
non_coding_1318	region	1308962	1309016	55
non_coding_1319	region	1310270	1310569	300
non_coding_1320	region	1310866	1311089	224
non_coding_1321	region	1311809	1311848	40
non_coding_1322	region	1312247	1312351	105
non_coding_1323	region	1312891	1312920	30
non_coding_1324	region	1313664	1314020	357
non_coding_1325	region	1314659	1314718	60
non_coding_1326	region	1315225	1315270	46
non_coding_1327	region	1315771	1315856	86
non_coding_1328	region	1316036	1316416	381
non_coding_1329	region	1317223	1317222	0
non_coding_1330	region	1318416	1318427	12
non_coding_1331	region	1319789	1319789	1
non_coding_1332	region	1321385	1321384	0
non_coding_1333	region	1322947	1323038	92
non_coding_1334	region	1323083	1323220	138
non_coding_1336	region	1324719	1324746	28
non_coding_1337	region	1326642	1326852	211
non_coding_1338	region	1327728	1327767	40
non_coding_1340	region	1329113	1329332	220
non_coding_1341	region	1330382	1330417	36
non_coding_1342	region	1330669	1331048	380
non_coding_1343	region	1333646	1333855	210
non_coding_1344	region	1334830	1335148	319
non_coding_1345	region	1335289	1335291	3
non_coding_1346	region	1335459	1335572	114
non_coding_1347	region	1335668	1335831	164
non_coding_1348	region	1338507	1338570	64
non_coding_1349	region	1339161	1339330	170
non_coding_1350	region	1340095	1340243	149
non_coding_1351	region	1340552	1340558	7
non_coding_1352	region	1341728	1341921	194
non_coding_1353	region	1342659	1342658	0
non_coding_1354	region	1342985	1343110	126
non_coding_1355	region	1343329	1343597	269
non_coding_1356	region	1344347	1344436	90
non_coding_1357	region	1344610	1344647	38
non_coding_1359	region	1346743	1346796	54
non_coding_1360	region	1346901	1346978	78
non_coding_1361	region	1348913	1348980	68
non_coding_1362	region	1350108	1350251	144
non_coding_1363	region	1351040	1351407	368
non_coding_1364	region	1351761	1351828	68
non_coding_1365	region	1352635	1352636	2
non_coding_1366	region	1353629	1353628	0
non_coding_1369	region	1357111	1357423	313
non_coding_1370	region	1357669	1357802	134
non_coding_1372	region	1359342	1359490	149
non_coding_1373	region	1360909	1361120	212
non_coding_1374	region	1361885	1361911	27
non_coding_1375	region	1362469	1362743	275
non_coding_1376	region	1364231	1364232	2
non_coding_1377	region	1365513	1365550	38
non_coding_1378	region	1366816	1366935	120
non_coding_1379	region	1367913	1368079	167
non_coding_1380	region	1368748	1368801	54
non_coding_1381	region	1369026	1369025	0
non_coding_1382	region	1369385	1369393	9
non_coding_1383	region	1369615	1369689	75
non_coding_1384	region	1370004	1370216	213
non_coding_1385	region	1371896	1371909	14
non_coding_1386	region	1373202	1373222	21
non_coding_1388	region	1374933	1374963	31
non_coding_1389	region	1376016	1376034	19
non_coding_1390	region	1376823	1376832	10
non_coding_1393	region	1380808	1380821	14
non_coding_1394	region	1381790	1381789	0
non_coding_1395	region	1381903	1381947	45
non_coding_1396	region	1382853	1382963	111
non_coding_1397	region	1383962	1384117	156
non_coding_1399	region	1386573	1386720	148
non_coding_1400	region	1388262	1388305	44
non_coding_1401	region	1388812	1388930	119
non_coding_1403	region	1390599	1390680	82
non_coding_1404	region	1390863	1390868	6
non_coding_1405	region	1390934	1390933	0
non_coding_1406	region	1391854	1391991	138
non_coding_1407	region	1392891	1393227	337
non_coding_1408	region	1394841	1394891	51
non_coding_1409	region	1395923	1396112	190
non_coding_1410	region	1397093	1397365	273
non_coding_1411	region	1397623	1397672	50
non_coding_1412	region	1398623	1398774	152
non_coding_1413	region	1399527	1399721	195
non_coding_1414	region	1400237	1400247	11
non_coding_1415	region	1401774	1401810	37
non_coding_1416	region	1403256	1403255	0
non_coding_1417	region	1404566	1404741	176
non_coding_1418	region	1405650	1405658	9
non_coding_1419	region	1405752	1405979	228
non_coding_1420	region	1406543	1406563	21
non_coding_1421	region	1407796	1407989	194
non_coding_1422	region	1408037	1408050	14
non_coding_1423	region	1409034	1409129	96
non_coding_1424	region	1409251	1409308	58
non_coding_1425	region	1409482	1409511	30
non_coding_1426	region	1410885	1411013	129
non_coding_1427	region	1411949	1412000	52
non_coding_1428	region	1413236	1413237	2
non_coding_1429	region	1413453	1413531	79
non_coding_1432	region	1413928	1413984	57
non_coding_1434	region	1417387	1417488	102
non_coding_1435	region	1417764	1417838	75
non_coding_1436	region	1418009	1418008	0
non_coding_1437	region	1418230	1418405	176
non_coding_1438	region	1418503	1418671	169
non_coding_1440	region	1419312	1419322	11
non_coding_1441	region	1419457	1419765	309
non_coding_1442	region	1420242	1420365	124
non_coding_1443	region	1420662	1420684	23
non_coding_1444	region	1421107	1421119	13
non_coding_1445	region	1421977	1421983	7
non_coding_1446	region	1422730	1422752	23
non_coding_1447	region	1423313	1423345	33
non_coding_1449	region	1423586	1423782	197
non_coding_1450	region	1425240	1425377	138
non_coding_1452	region	1425981	1426454	474
non_coding_1455	region	1428727	1429049	323
non_coding_1456	region	1432412	1432411	0
non_coding_1457	region	1432987	1433084	98
non_coding_1458	region	1433675	1433991	317
non_coding_1459	region	1434225	1434293	69
non_coding_1460	region	1434407	1434958	552
non_coding_1461	region	1435009	1435185	177
non_coding_1462	region	1435620	1435760	141
non_coding_1463	region	1436894	1437121	228
non_coding_1464	region	1437232	1437260	29
non_coding_1465	region	1440785	1441058	274
non_coding_1467	region	1441744	1441854	111
non_coding_1468	region	1442844	1443051	208
non_coding_1470	region	1445873	1445880	8
non_coding_1471	region	1446207	1446378	172
non_coding_1472	region	1447284	1447519	236
non_coding_1473	region	1449019	1449076	58
non_coding_1474	region	1451350	1451597	248
non_coding_1475	region	1453643	1453927	285
non_coding_1476	region	1454857	1454868	12
non_coding_1477	region	1455156	1455164	9
non_coding_1478	region	1455911	1455925	15
non_coding_1479	region	1456423	1456430	8
non_coding_1481	region	1458265	1458264	0
non_coding_1482	region	1459053	1459054	2
non_coding_1484	region	1460894	1460893	0
non_coding_1485	region	1462099	1462125	27
non_coding_1486	region	1463439	1463539	101
non_coding_1488	region	1465062	1465165	104
non_coding_1489	region	1465231	1465392	162
non_coding_1492	region	1469150	1469358	209
non_coding_1493	region	1470510	1474221	3712
non_coding_1494	region	1475082	1475144	63
non_coding_1495	region	1477451	1477621	171
non_coding_1496	region	1478227	1478226	0
non_coding_1497	region	1479123	1479138	16
non_coding_1498	region	1480896	1480909	14
non_coding_1499	region	1482202	1482255	54
non_coding_1500	region	1482861	1483061	201
non_coding_1501	region	1486964	1487235	272
non_coding_1502	region	1488036	1488232	197
non_coding_1503	region	1489672	1489713	42
non_coding_1504	region	1490714	1490902	189
non_coding_1505	region	1491433	1491442	10
non_coding_1506	region	1491507	1491677	171
non_coding_1507	region	1491851	1491876	26
non_coding_1511	region	1492176	1492470	295
non_coding_1512	region	1494111	1494148	38
non_coding_1513	region	1495072	1495288	217
non_coding_1514	region	1496632	1496856	225
non_coding_1515	region	1498512	1498651	140
non_coding_1516	region	1498876	1498938	63
non_coding_1518	region	1500450	1500573	124
non_coding_1520	region	1502156	1502457	302
non_coding_1521	region	1503126	1503218	93
non_coding_1522	region	1503650	1503657	8
non_coding_1523	region	1504866	1504905	40
non_coding_1524	region	1506081	1506172	92
non_coding_1525	region	1506709	1506781	73
non_coding_1526	region	1508743	1508834	92
non_coding_1527	region	1509065	1509286	222
non_coding_1528	region	1509463	1509508	46
non_coding_1529	region	1509925	1510003	79
non_coding_1530	region	1511410	1511654	245
non_coding_1531	region	1512800	1512817	18
non_coding_1532	region	1513831	1513831	1
non_coding_1534	region	1515557	1515578	22
non_coding_1535	region	1517003	1517099	97
non_coding_1536	region	1517195	1517389	195
non_coding_1537	region	1517563	1517648	86
non_coding_1538	region	1517882	1517882	1
non_coding_1540	region	1518847	1519027	181
non_coding_1541	region	1520065	1520262	198
non_coding_1542	region	1520928	1520963	36
non_coding_1543	region	1523066	1523307	242
non_coding_1544	region	1524369	1524481	113
non_coding_1545	region	1525981	1526247	267
non_coding_1546	region	1526865	1526940	76
non_coding_1547	region	1527153	1527890	738
non_coding_1550	region	1530505	1530586	82
non_coding_1551	region	1531640	1531816	177
non_coding_1552	region	1532953	1533052	100
non_coding_1554	region	1533852	1534024	173
non_coding_1555	region	1534870	1534965	96
non_coding_1556	region	1535859	1535937	79
non_coding_1558	region	1537310	1537309	0
non_coding_1560	region	1542591	1542672	82
non_coding_1561	region	1544061	1544384	324
non_coding_1562	region	1544720	1544758	39
non_coding_1563	region	1545715	1545738	24
non_coding_1564	region	1546029	1546288	260
non_coding_1565	region	1547170	1547401	232
non_coding_1566	region	1550449	1550461	13
non_coding_1568	region	1551992	1552398	407
non_coding_1569	region	1552683	1552828	146
non_coding_1570	region	1553839	1553972	134
non_coding_1571	region	1555670	1555826	157
non_coding_1572	region	1555964	1556065	102
non_coding_1573	region	1556281	1556625	345
non_coding_1574	region	1557057	1557112	56
non_coding_1578	region	1560930	1560931	2
non_coding_1579	region	1562482	1562495	14
non_coding_1580	region	1563077	1563334	258
non_coding_1581	region	1565734	1565758	25
non_coding_1582	region	1567141	1567178	38
non_coding_1583	region	1567220	1567504	285
non_coding_1584	region	1568824	1568954	131
non_coding_1585	region	1570490	1570645	156
non_coding_1586	region	1572046	1572407	362
non_coding_1587	region	1575203	1575247	45
non_coding_1588	region	1577620	1577657	38
non_coding_1589	region	1579343	1579545	203
non_coding_1591	region	1580791	1580842	52
non_coding_1592	region	1582525	1582926	402
non_coding_1593	region	1583688	1583762	75
non_coding_1594	region	1583960	1584207	248
non_coding_1595	region	1586487	1586820	334
non_coding_1596	region	1587735	1587793	59
non_coding_1597	region	1588297	1588309	13
non_coding_1598	region	1588840	1588853	14
non_coding_1599	region	1590002	1590334	333
non_coding_1600	region	1590537	1590854	318
non_coding_1601	region	1592177	1592176	0
non_coding_1602	region	1592443	1592665	223
non_coding_1603	region	1598087	1598617	531
non_coding_1604	region	1600210	1600288	79
non_coding_1605	region	1601242	1601490	249
non_coding_1607	region	1604048	1604047	0
non_coding_1608	region	1605040	1605051	12
non_coding_1609	region	1606074	1606100	27
non_coding_1610	region	1606976	1606999	24
non_coding_1611	region	1607290	1607346	57
non_coding_1612	region	1608105	1608108	4
non_coding_1613	region	1609023	1609229	207
non_coding_1614	region	1610681	1610907	227
non_coding_1615	region	1611855	1611966	112
non_coding_1616	region	1612326	1612325	0
non_coding_1617	region	1613252	1613315	64
non_coding_1618	region	1614704	1614804	101
non_coding_1619	region	1615686	1615763	78
non_coding_1620	region	1616879	1617028	150
non_coding_1621	region	1618219	1618243	25
non_coding_1622	region	1618909	1619120	212
non_coding_1623	region	1619555	1619574	20
non_coding_1624	region	1619958	1619989	32
non_coding_1625	region	1620208	1620238	31
non_coding_1626	region	1621138	1621332	195
non_coding_1627	region	1622520	1622646	127
non_coding_1628	region	1622742	1622741	0
non_coding_1630	region	1622915	1622960	46
non_coding_1631	region	1623851	1624105	255
non_coding_1632	region	1624498	1624773	276
non_coding_1633	region	1625292	1625335	44
non_coding_1634	region	1627381	1627517	137
non_coding_1635	region	1628264	1628352	89
non_coding_1636	region	1629039	1629215	177
non_coding_1637	region	1629419	1629453	35
non_coding_1638	region	1630914	1631002	89
non_coding_1639	region	1632286	1632890	605
non_coding_1640	region	1633004	1633072	69
non_coding_1641	region	1633306	1633622	317
non_coding_1642	region	1634213	1634310	98
non_coding_1643	region	1634886	1634885	0
non_coding_1645	region	1636368	1636756	389
non_coding_1646	region	1636990	1637047	58
non_coding_1647	region	1637458	1637609	152
non_coding_1648	region	1637783	1637954	172
non_coding_1649	region	1638110	1638188	79
non_coding_1650	region	1638254	1638256	3
non_coding_1651	region	1638445	1638455	11
non_coding_1652	region	1638668	1639030	363
non_coding_1654	region	1639335	1639524	190
non_coding_1656	region	1640366	1640370	5
non_coding_1657	region	1640586	1640805	220
non_coding_1658	region	1640976	1641339	364
non_coding_1659	region	1641555	1641855	301
non_coding_1660	region	1642068	1642122	55
non_coding_1661	region	1642212	1642489	278
non_coding_1662	region	1643242	1643255	14
non_coding_1663	region	1644305	1644651	347
non_coding_1664	region	1644903	1645119	217
non_coding_1665	region	1645275	1645346	72
non_coding_1666	region	1645634	1645633	0
non_coding_1667	region	1645873	1645897	25
non_coding_1668	region	1646203	1646405	203
non_coding_1669	region	1646738	1647174	437
non_coding_1670	region	1647324	1647346	23
non_coding_1672	region	1647851	1647934	84
non_coding_1673	region	1648342	1648508	167
non_coding_1674	region	1648664	1648665	2
non_coding_1675	region	1648794	1648823	30
non_coding_1676	region	1649042	1649382	341
non_coding_1677	region	1649435	1649609	175
non_coding_1679	region	1649986	1650078	93
non_coding_1682	region	1652709	1652728	20
non_coding_1683	region	1652839	1652896	58
non_coding_1684	region	1653916	1653927	12
non_coding_1685	region	1655142	1655347	206
non_coding_1686	region	1655674	1655808	135
non_coding_1687	region	1656150	1656184	35
non_coding_1688	region	1656745	1656747	3
non_coding_1689	region	1657458	1657565	108
non_coding_1690	region	1657871	1658069	199
non_coding_1691	region	1660496	1660556	61
non_coding_1692	region	1662980	1662990	11
non_coding_1693	region	1663608	1663609	2
non_coding_1694	region	1664464	1664506	43
non_coding_1695	region	1665121	1665315	195
non_coding_1697	region	1667220	1667344	125
non_coding_1698	region	1668565	1668699	135
non_coding_1699	region	1669593	1669699	107
non_coding_1700	region	1670953	1671376	424
non_coding_1701	region	1671685	1671777	93
non_coding_1702	region	1671861	1671960	100
non_coding_1703	region	1672782	1672820	39
non_coding_1705	region	1673502	1673608	107
non_coding_1706	region	1673710	1673913	204
non_coding_1707	region	1674948	1674972	25
non_coding_1708	region	1676361	1676371	11
non_coding_1709	region	1677904	1678427	524
non_coding_1710	region	1679372	1679557	186
non_coding_1711	region	1680940	1680976	37
non_coding_1713	region	1682031	1682159	129
non_coding_1714	region	1682879	1682882	4
non_coding_1715	region	1684184	1684259	76
non_coding_1717	region	1686589	1686731	143
non_coding_1718	region	1688378	1688576	199
non_coding_1719	region	1689752	1689852	101
non_coding_1720	region	1691361	1691586	226
non_coding_1721	region	1692852	1692890	39
non_coding_1723	region	1696072	1696462	391
non_coding_1724	region	1697053	1697273	221
non_coding_1725	region	1698041	1698152	112
non_coding_1726	region	1699181	1699355	175
non_coding_1727	region	1700948	1700957	10
non_coding_1728	region	1702130	1702233	104
non_coding_1729	region	1703235	1703268	34
non_coding_1730	region	1704309	1704551	243
non_coding_1731	region	1704677	1704949	273
non_coding_1732	region	1705165	1705250	86
non_coding_1733	region	1705691	1705767	77
non_coding_1734	region	1706349	1706348	0
non_coding_1736	region	1709142	1709142	1
non_coding_1737	region	1710201	1710204	4
non_coding_1738	region	1710825	1710828	4
non_coding_1739	region	1711524	1711523	0
non_coding_1740	region	1712159	1712769	611
non_coding_1741	region	1714272	1714377	106
non_coding_1742	region	1714983	1715026	44
non_coding_1743	region	1715890	1715948	59
non_coding_1744	region	1717223	1717351	129
non_coding_1745	region	1718008	1718066	59
non_coding_1746	region	1718396	1718493	98
non_coding_1747	region	1719603	1719876	274
non_coding_1748	region	1720344	1720390	47
non_coding_1749	region	1720825	1721025	201
non_coding_1750	region	1721262	1721264	3
non_coding_1751	region	1722122	1722121	0
non_coding_1752	region	1724134	1724134	1
non_coding_1753	region	1724656	1724736	81
non_coding_1754	region	1725633	1725681	49
non_coding_1755	region	1725921	1726023	103
non_coding_1756	region	1726623	1726659	37
non_coding_1757	region	1727757	1727837	81
non_coding_1758	region	1728245	1728347	103
non_coding_1759	region	1728995	1729087	93
non_coding_1760	region	1733704	1733754	51
non_coding_1761	region	1734102	1734435	334
non_coding_1762	region	1735251	1735378	128
non_coding_1763	region	1735960	1736121	162
non_coding_1764	region	1737291	1737456	166
non_coding_1765	region	1737546	1737844	299
non_coding_1767	region	1739799	1739911	113
non_coding_1768	region	1741123	1741413	291
non_coding_1769	region	1742562	1742601	40
non_coding_1770	region	1743243	1743457	215
non_coding_1771	region	1744831	1744871	41
non_coding_1772	region	1746128	1746435	308
non_coding_1773	region	1746512	1746516	5
non_coding_1774	region	1746593	1746700	108
non_coding_1775	region	1747006	1747131	126
